 51 1872.749298 2.532E-31 1.219E+01.03350.036 6289.18470.67-.002889              1              0                    P 57      47562310 8 5 5 1 8   113.0  115.0
 51 1878.321932 7.078E-31 1.229E+01.03380.036 6074.53040.67-.002883              1              0                    P 56      47562310 8 5 5 1 8   111.0  113.0
 51 1883.867653 1.943E-30 1.239E+01.03420.036 5863.48830.67-.002877              1              0                    P 55      47562310 8 5 5 1 8   109.0  111.0
 51 1889.386322 5.241E-30 1.249E+01.03450.037 5656.06660.67-.002872              1              0                    P 54      47562310 8 5 5 1 8   107.0  109.0
 51 1894.877801 1.388E-29 1.260E+01.03480.037 5452.27330.67-.002866              1              0                    P 53      47562310 8 5 5 1 8   105.0  107.0
 51 1900.341948 3.611E-29 1.270E+01.03520.037 5252.11620.67-.002861              1              0                    P 52      47562310 8 5 5 1 8   103.0  105.0
 51 1902.414094 2.342E-31 2.542E+01.03700.039 6409.92360.67-.002837              2              1                    P 47      47562310 8 5 5 1 8    93.0   95.0
 51 1905.778626 9.225E-29 1.280E+01.03550.038 5055.60290.67-.002856              1              0                    P 51      47562310 8 5 5 1 8   101.0  103.0
 51 1907.676322 5.419E-31 2.562E+01.03740.040 6233.38530.67-.002833              2              1                    P 46      47562310 8 5 5 1 8    91.0   93.0
 51 1911.187693 2.314E-28 1.290E+01.03590.038 4862.74110.67-.002851              1              0                    P 50      47562310 8 5 5 1 8    99.0  101.0
 51 1912.910229 1.231E-30 2.583E+01.03780.040 6060.49900.67-.002829              2              1                    P 45      47562310 8 5 5 1 8    89.0   91.0
 51 1916.569009 5.702E-28 1.301E+01.03620.038 4673.53810.67-.002846              1              0                    P 49      47562310 8 5 5 1 8    97.0   99.0
 51 1918.115672 2.746E-30 2.603E+01.03820.040 5891.27140.67-.002826              2              1                    P 44      47562310 8 5 5 1 8    87.0   89.0
 51 1921.922433 1.379E-27 1.311E+01.03660.039 4488.00120.67-.002841              1              0                    P 48      47562310 8 5 5 1 8    95.0   97.0
 51 1923.292511 6.013E-30 2.623E+01.03860.041 5725.70900.67-.002822              2              1                    P 43      47562310 8 5 5 1 8    85.0   87.0
 51 1927.247824 3.276E-27 1.322E+01.03700.039 4306.13750.67-.002837              1              0                    P 47      47562310 8 5 5 1 8    93.0   95.0
 51 1928.440602 1.293E-29 2.644E+01.03900.041 5563.81840.67-.002819              2              1                    P 42      47562310 8 5 5 1 8    83.0   85.0
 51 1932.545040 7.640E-27 1.332E+01.03740.040 4127.95390.67-.002833              1              0                    P 46      47562310 8 5 5 1 8    91.0   93.0
 51 1933.559804 2.729E-29 2.664E+01.03950.042 5405.60560.67-.002817              2              1                    P 41      47562310 8 5 5 1 8    81.0   83.0
 51 1937.813941 1.749E-26 1.343E+01.03780.040 3953.45740.67-.002829              1              0                    P 45      47562310 8 5 5 1 8    89.0   91.0
 51 1938.649974 5.655E-29 2.685E+01.03990.042 5251.07690.67-.002815              2              1                    P 40      47562310 8 5 5 1 8    79.0   81.0
 51 1943.054383 3.932E-26 1.353E+01.03820.040 3782.65470.67-.002826              1              0                    P 44      47562310 8 5 5 1 8    87.0   89.0
 51 1943.350357 1.683E-31 4.051E+01.04270.045 6497.55860.67-.002809              3              2                    P 34      47566310 8 5 5 1 8    67.0   69.0
 51 1943.710969 1.150E-28 2.705E+01.04030.043 5100.23820.67-.002813              2              1                    P 39      47562310 8 5 5 1 8    77.0   79.0
 51 1948.198244 3.040E-31 4.081E+01.04320.046 6370.16770.67-.002809              3              2                    P 33      47566310 8 5 5 1 8    65.0   67.0
 51 1948.266225 8.676E-26 1.364E+01.03860.041 3615.55210.67-.002822              1              0                    P 43      47562310 8 5 5 1 8    85.0   87.0
 51 1948.742646 2.296E-28 2.726E+01.04080.043 4953.09540.67-.002811              2              1                    P 38      47562310 8 5 5 1 8    75.0   77.0
 51 1953.015948 5.390E-31 4.112E+01.04380.046 6246.46950.67-.002810              3              2                    P 32      47566310 8 5 5 1 8    63.0   65.0
 51 1953.449325 1.879E-25 1.374E+01.03900.041 3452.15630.67-.002819              1              0                    P 42      47562310 8 5 5 1 8    83.0   85.0
 51 1953.744862 4.499E-28 2.747E+01.04130.044 4809.65410.67-.002810              2              1                    P 37      47562310 8 5 5 1 8    73.0   75.0
 51 1957.803326 9.376E-31 4.143E+01.04430.047 6126.46900.67-.002811              3              2                    P 31      47566310 8 5 5 1 8    61.0   63.0
 51 1958.603539 3.995E-25 1.385E+01.03950.042 3292.47340.67-.002817              1              0                    P 41      47562310 8 5 5 1 8    81.0   83.0
 51 1958.717473 8.652E-28 2.768E+01.04170.044 4669.92000.67-.002809              2              1                    P 36      47562310 8 5 5 1 8    71.0   73.0
 51 1962.560233 1.600E-30 4.174E+01.04480.047 6010.17090.67-.002813              3              2                    P 30      47566310 8 5 5 1 8    59.0   61.0
 51 1963.660335 1.633E-27 2.789E+01.04220.045 4533.89830.67-.002809              2              1                    P 35      47562310 8 5 5 1 8    69.0   71.0
 51 1963.728726 8.336E-25 1.395E+01.03990.042 3136.50950.67-.002815              1              0                    P 40      47562310 8 5 5 1 8    79.0   81.0
 51 1967.286525 2.679E-30 4.205E+01.04540.048 5897.57960.67-.002815              3              2                    P 29      47566310 8 5 5 1 8    57.0   59.0
 51 1968.573304 3.024E-27 2.810E+01.04270.045 4401.59440.67-.002809              2              1                    P 34      47562310 8 5 5 1 8    67.0   69.0
 51 1968.824741 1.707E-24 1.406E+01.04030.043 2984.27070.67-.002813              1              0                    P 39      47562310 8 5 5 1 8    77.0   79.0
 51 1971.982056 4.401E-30 4.236E+01.04600.049 5788.69960.67-.002817              3              2                    P 28      47566310 8 5 5 1 8    55.0   57.0
 51 1973.456238 5.495E-27 2.831E+01.04320.046 4273.01330.67-.002809              2              1                    P 33      47562310 8 5 5 1 8    65.0   67.0
 51 1973.891441 3.431E-24 1.417E+01.04080.043 2835.76270.67-.002811              1              0                    P 38      47562310 8 5 5 1 8    75.0   77.0
 51 1976.646683 7.090E-30 4.268E+01.04650.049 5683.53510.67-.002819              3              2                    P 27      47566310 8 5 5 1 8    53.0   55.0
 51 1978.308990 9.796E-27 2.852E+01.04380.046 4148.16010.67-.002810              2              1                    P 32      47562310 8 5 5 1 8    63.0   65.0
 51 1978.928683 6.766E-24 1.428E+01.04130.044 2690.99130.67-.002810              1              0                    P 37      47562310 8 5 5 1 8    73.0   75.0
 51 1981.280260 1.120E-29 4.300E+01.04710.050 5582.09010.67-.002822              3              2                    P 26      47566310 8 5 5 1 8    51.0   53.0
 51 1983.131417 1.713E-26 2.873E+01.04430.047 4027.03950.67-.002811              2              1                    P 31      47562310 8 5 5 1 8    61.0   63.0
 51 1983.936323 1.309E-23 1.438E+01.04170.044 2549.96200.67-.002809              1              0                    P 36      47562310 8 5 5 1 8    71.0   73.0
 51 1985.882641 1.735E-29 4.332E+01.04770.051 5484.36870.67-.002824              3              2                    P 25      47566310 8 5 5 1 8    49.0   51.0
 51 1987.923374 2.940E-26 2.895E+01.04480.047 3909.65620.67-.002813              2              1                    P 30      47562310 8 5 5 1 8    59.0   61.0
 51 1988.914217 2.486E-23 1.449E+01.04220.045 2412.68010.67-.002809              1              0                    P 35      47562310 8 5 5 1 8    69.0   71.0
 51 1990.453682 2.636E-29 4.365E+01.04830.051 5390.37470.67-.002827              3              2                    P 24      47566310 8 5 5 1 8    47.0   49.0
 51 1992.684716 4.948E-26 2.916E+01.04540.048 3796.01490.67-.002815              2              1                    P 29      47562310 8 5 5 1 8    57.0   59.0
 51 1993.862221 4.632E-23 1.460E+01.04270.045 2279.15110.67-.002809              1              0                    P 34      47562310 8 5 5 1 8    67.0   69.0
 51 1994.993237 3.926E-29 4.398E+01.04900.052 5300.11170.67-.002829              3              2                    P 23      47566310 8 5 5 1 8    45.0   47.0
 51 1997.415298 8.167E-26 2.938E+01.04600.049 3686.11980.67-.002817              2              1                    P 28      47562310 8 5 5 1 8    55.0   57.0
 51 1998.780190 8.466E-23 1.471E+01.04320.046 2149.37990.67-.002809              1              0                    P 33      47562310 8 5 5 1 8    65.0   67.0
 51 1999.501160 5.730E-29 4.431E+01.04960.053 5213.58320.67-.002831              3              2                    P 22      47566310 8 5 5 1 8    43.0   45.0
