461 1048.780558 6.441E-37 8.120E+00.06980.059 9016.32990.750.000000              2              1                    P 98      432210 1 1 1 1 1 0   195.0  197.0
461 1051.406170 1.352E-36 8.190E+00.06980.059 8862.36740.750.000000              2              1                    P 97      432210 1 1 1 1 1 0   193.0  195.0
461 1054.022813 2.819E-36 8.260E+00.06980.059 8709.87520.750.000000              2              1                    P 96      432210 1 1 1 1 1 0   191.0  193.0
461 1056.630461 5.825E-36 8.320E+00.06980.059 8558.85640.750.000000              2              1                    P 95      432210 1 1 1 1 1 0   189.0  191.0
461 1057.966036 5.487E-35 4.070E+00.06980.059 7958.36380.750.000000              1              0                    P 99      432210 1 1 1 1 1 0   197.0  199.0
461 1059.229088 1.196E-35 8.390E+00.06980.059 8409.31400.750.000000              2              1                    P 94      432210 1 1 1 1 1 0   187.0  189.0
461 1060.611915 1.166E-34 4.100E+00.06980.059 7801.75550.750.000000              1              0                    P 98      432210 1 1 1 1 1 0   195.0  197.0
461 1061.818667 2.440E-35 8.460E+00.06980.059 8261.25100.750.000000              2              1                    P 93      432210 1 1 1 1 1 0   185.0  187.0
461 1063.248859 2.458E-34 4.130E+00.06980.059 7646.62640.750.000000              1              0                    P 97      432210 1 1 1 1 1 0   193.0  195.0
461 1064.399173 4.938E-35 8.530E+00.06980.059 8114.67040.750.000000              2              1                    P 92      432210 1 1 1 1 1 0   183.0  185.0
461 1065.876842 5.158E-34 4.170E+00.06980.059 7492.97960.750.000000              1              0                    P 96      432210 1 1 1 1 1 0   191.0  193.0
461 1066.970579 9.920E-35 8.600E+00.06980.059 7969.57530.750.000000              2              1                    P 91      432210 1 1 1 1 1 0   181.0  183.0
461 1068.495838 1.072E-33 4.200E+00.06980.059 7340.81810.750.000000              1              0                    P 95      432210 1 1 1 1 1 0   189.0  191.0
461 1069.532859 1.978E-34 8.670E+00.06980.059 7825.96850.750.000000              2              1                    P 90      532210 1 1 1 1 1 0   179.0  181.0
461 1071.105822 2.216E-33 4.240E+00.06980.059 7190.14520.750.000000              1              0                    P 94      432210 1 1 1 1 1 0   187.0  189.0
461 1072.085986 3.916E-34 8.740E+00.06980.059 7683.85300.750.000000              2              1                    P 89      532210 1 1 1 1 1 0   177.0  179.0
461 1073.706767 4.538E-33 4.270E+00.06980.059 7040.96370.750.000000              1              0                    P 93      432210 1 1 1 1 1 0   185.0  187.0
461 1074.629933 7.696E-34 8.810E+00.06980.059 7543.23150.750.000000              2              1                    P 88      532210 1 1 1 1 1 0   175.0  177.0
461 1076.298646 9.223E-33 4.300E+00.06980.059 6893.27670.750.000000              1              0                    P 92      432210 1 1 1 1 1 0   183.0  185.0
461 1077.164674 1.501E-33 8.880E+00.06980.059 7404.10710.750.000000              2              1                    P 87      532210 1 1 1 1 1 0   173.0  175.0
461 1078.881433 1.865E-32 4.340E+00.06980.059 6747.08710.750.000000              1              0                    P 91      432210 1 1 1 1 1 0   181.0  183.0
461 1079.690182 2.906E-33 8.950E+00.06980.059 7266.48230.750.000000              2              1                    P 86      532210 1 1 1 1 1 0   171.0  173.0
461 1081.455102 3.734E-32 4.370E+00.06980.059 6602.39790.750.000000              1              0                    P 90      432210 1 1 1 1 1 0   179.0  181.0
461 1082.206430 5.583E-33 9.020E+00.06980.059 7130.36020.750.000000              2              1                    P 85      532210 1 1 1 1 1 0   169.0  171.0
461 1084.019626 7.439E-32 4.410E+00.06980.059 6459.21190.750.000000              1              0                    P 89      432210 1 1 1 1 1 0   177.0  179.0
461 1084.713391 1.065E-32 9.090E+00.06980.059 6995.74330.750.000000              2              1                    P 84      532210 1 1 1 1 1 0   167.0  169.0
461 1086.574978 1.468E-31 4.440E+00.06980.059 6317.53210.750.000000              1              0                    P 88      532210 1 1 1 1 1 0   175.0  177.0
461 1087.211037 2.015E-32 9.160E+00.06980.059 6862.63450.750.000000              2              1                    P 83      532210 1 1 1 1 1 0   165.0  167.0
461 1089.121132 2.880E-31 4.480E+00.06980.059 6177.36120.750.000000              1              0                    P 87      532210 1 1 1 1 1 0   173.0  175.0
461 1089.699341 3.786E-32 9.230E+00.06980.059 6731.03630.750.000000              2              1                    P 82      532210 1 1 1 1 1 0   163.0  165.0
461 1091.658059 5.597E-31 4.510E+00.06980.059 6038.70210.750.000000              1              0                    P 86      532210 1 1 1 1 1 0   171.0  173.0
461 1092.178277 7.060E-32 9.300E+00.06980.059 6600.95140.750.000000              2              1                    P 81      532210 1 1 1 1 1 0   161.0  163.0
461 1094.185735 1.082E-30 4.550E+00.06980.059 5901.55760.750.000000              1              0                    P 85      532210 1 1 1 1 1 0   169.0  171.0
461 1094.647815 1.306E-31 9.370E+00.06980.059 6472.38260.750.000000              2              1                    P 80      532210 1 1 1 1 1 0   159.0  161.0
461 1096.704130 2.076E-30 4.590E+00.06980.059 5765.93030.750.000000              1              0                    P 84      532210 1 1 1 1 1 0   167.0  169.0
461 1097.107930 2.399E-31 9.440E+00.06980.059 6345.33220.750.000000              2              1                    P 79      532210 1 1 1 1 1 0   157.0  159.0
461 1099.213218 3.944E-30 4.620E+00.06980.059 5631.82310.750.000000              1              0                    P 83      532210 1 1 1 1 1 0   165.0  167.0
461 1099.558593 4.374E-31 9.510E+00.06980.059 6219.80300.750.000000              2              1                    P 78      532210 1 1 1 1 1 0   155.0  157.0
461 1101.712971 7.453E-30 4.660E+00.06980.059 5499.23850.750.000000              1              0                    P 82      532210 1 1 1 1 1 0   163.0  165.0
461 1101.999776 7.920E-31 9.590E+00.06980.059 6095.79740.750.000000              2              1                    P 77      532210 1 1 1 1 1 0   153.0  155.0
461 1104.203363 1.395E-29 4.690E+00.06980.059 5368.17920.750.000000              1              0                    P 81      532210 1 1 1 1 1 0   161.0  163.0
461 1104.431452 1.422E-30 9.660E+00.06980.059 5973.31790.750.000000              2              1                    P 76      532210 1 1 1 1 1 0   151.0  153.0
461 1106.684364 2.596E-29 4.730E+00.06980.059 5238.64790.750.000000              1              0                    P 80      532210 1 1 1 1 1 0   159.0  161.0
461 1106.853592 2.533E-30 9.730E+00.06980.059 5852.36700.750.000000              2              1                    P 75      532210 1 1 1 1 1 0   149.0  151.0
461 1109.155949 4.794E-29 4.770E+00.06980.059 5110.64710.750.000000              1              0                    P 79      532210 1 1 1 1 1 0   157.0  159.0
461 1109.266169 4.482E-30 9.810E+00.06980.059 5732.94720.750.000000              2              1                    P 74      532210 1 1 1 1 1 0   147.0  149.0
461 1111.618089 8.768E-29 4.800E+00.06980.059 4984.17930.750.000000              1              0                    P 78      532210 1 1 1 1 1 0   155.0  157.0
461 1111.669155 7.864E-30 9.880E+00.06980.059 5615.06070.750.000000              2              1                    P 73      532210 1 1 1 1 1 0   145.0  147.0
461 1114.062520 1.369E-29 9.950E+00.06980.059 5498.71000.750.000000              2              1                    P 72      532210 1 1 1 1 1 0   143.0  145.0
461 1114.070755 1.595E-28 4.840E+00.06980.059 4859.24720.750.000000              1              0                    P 77      532210 1 1 1 1 1 0   153.0  155.0
461 1116.446238 2.361E-29 1.000E+01.06980.059 5383.89740.750.000000              2              1                    P 71      532210 1 1 1 1 1 0   141.0  143.0
461 1116.513921 2.879E-28 4.880E+00.06980.059 4735.85310.750.000000              1              0                    P 76      532210 1 1 1 1 1 0   151.0  153.0
461 1118.820280 4.059E-29 1.010E+01.06980.059 5270.62520.750.000000              2              1                    P 70      532210 1 1 1 1 1 0   139.0  141.0
461 1118.947558 5.145E-28 4.910E+00.06980.059 4613.99960.750.000000              1              0                    P 75      532210 1 1 1 1 1 0   149.0  151.0
461 1121.184617 6.926E-29 1.020E+01.06980.059 5158.89570.750.000000              2              1                    P 69      532210 1 1 1 1 1 0   137.0  139.0
461 1121.371639 9.145E-28 4.950E+00.06980.059 4493.68900.750.000000              1              0                    P 74      532210 1 1 1 1 1 0   147.0  149.0
461 1123.539220 1.161E-28 1.020E+01.06980.059 5048.71120.750.000000              2              1                    P 68      532210 1 1 1 1 1 0   135.0  137.0
461 1123.786134 1.613E-27 4.990E+00.06980.059 4374.92390.750.000000              1              0                    P 73      532210 1 1 1 1 1 0   145.0  147.0
461 1125.884062 1.951E-28 1.030E+01.06980.059 4940.07380.750.000000              2              1                    P 67      532210 1 1 1 1 1 0   133.0  135.0
461 1126.191015 2.823E-27 5.030E+00.06980.059 4257.70640.750.000000              1              0                    P 72      532210 1 1 1 1 1 0   143.0  145.0
461 1128.219112 3.252E-28 1.040E+01.06980.059 4832.98560.750.000000              2              1                    P 66      532210 1 1 1 1 1 0   131.0  133.0
461 1128.586255 4.901E-27 5.070E+00.06980.059 4142.03900.750.000000              1              0                    P 71      532210 1 1 1 1 1 0   141.0  143.0
461 1130.544344 5.378E-28 1.050E+01.06980.059 4727.44900.750.000000              2              1                    P 65      532210 1 1 1 1 1 0   129.0  131.0
461 1130.971825 8.429E-27 5.100E+00.06980.059 4027.92390.750.000000              1              0                    P 70      532210 1 1 1 1 1 0   139.0  141.0
461 1132.859727 8.824E-28 1.060E+01.06980.059 4623.46590.750.000000              2              1                    P 64      532210 1 1 1 1 1 0   127.0  129.0
461 1133.347696 1.441E-26 5.140E+00.06980.059 3915.36350.750.000000              1              0                    P 69      532210 1 1 1 1 1 0   137.0  139.0
461 1135.165233 1.423E-27 1.060E+01.06980.059 4521.03840.750.000000              2              1                    P 63      532210 1 1 1 1 1 0   125.0  127.0
461 1135.713840 2.444E-26 5.180E+00.06980.059 3804.35990.750.000000              1              0                    P 68      532210 1 1 1 1 1 0   135.0  137.0
461 1137.460833 2.299E-27 1.070E+01.06980.059 4420.16860.750.000000              2              1                    P 62      532210 1 1 1 1 1 0   123.0  125.0
461 1138.070228 4.114E-26 5.220E+00.06980.059 3694.91540.750.000000              1              0                    P 67      532210 1 1 1 1 1 0   133.0  135.0
461 1139.746498 3.684E-27 1.080E+01.06980.059 4320.85850.750.000000              2              1                    P 61      532210 1 1 1 1 1 0   121.0  123.0
461 1140.416830 6.871E-26 5.260E+00.06980.059 3587.03210.750.000000              1              0                    P 66      532210 1 1 1 1 1 0   131.0  133.0
461 1142.022199 5.858E-27 1.090E+01.06980.059 4223.11020.750.000000              2              1                    P 60      532210 1 1 1 1 1 0   119.0  121.0
461 1142.753620 1.138E-25 5.300E+00.06980.059 3480.71220.750.000000              1              0                    P 65      532210 1 1 1 1 1 0   129.0  131.0
461 1144.287906 9.157E-27 1.090E+01.06980.059 4126.92550.750.000000              2              1                    P 59      532210 1 1 1 1 1 0   117.0  119.0
461 1145.080567 1.871E-25 5.340E+00.06980.059 3375.95780.750.000000              1              0                    P 64      532210 1 1 1 1 1 0   127.0  129.0
461 1146.543590 1.433E-26 1.100E+01.06980.059 4032.30630.750.000000              2              1                    P 58      532210 1 1 1 1 1 0   115.0  117.0
461 1147.397642 3.052E-25 5.380E+00.06980.059 3272.77100.750.000000              1              0                    P 63      532210 1 1 1 1 1 0   125.0  127.0
461 1148.789222 2.225E-26 1.110E+01.06980.059 3939.25460.750.000000              2              1                    P 57      532210 1 1 1 1 1 0   113.0  115.0
461 1149.704817 4.929E-25 5.410E+00.06980.059 3171.15370.750.000000              1              0                    P 62      532210 1 1 1 1 1 0   123.0  125.0
461 1151.024772 3.427E-26 1.120E+01.06980.059 3847.77220.750.000000              2              1                    P 56      532210 1 1 1 1 1 0   111.0  113.0
461 1152.002061 7.913E-25 5.450E+00.06980.059 3071.10810.750.000000              1              0                    P 61      532210 1 1 1 1 1 0   121.0  123.0
461 1153.250212 5.190E-26 1.120E+01.06980.059 3757.86100.750.000000              2              1                    P 55      532210 1 1 1 1 1 0   109.0  111.0
461 1154.289348 1.260E-24 5.490E+00.06980.059 2972.63610.750.000000              1              0                    P 60      532210 1 1 1 1 1 0   119.0  121.0
461 1155.465510 7.867E-26 1.130E+01.06980.059 3669.52270.750.000000              2              1                    P 54      532210 1 1 1 1 1 0   107.0  109.0
461 1156.566645 1.991E-24 5.530E+00.06980.059 2875.73970.750.000000              1              0                    P 59      532210 1 1 1 1 1 0   117.0  119.0
461 1157.670639 1.183E-25 1.140E+01.06980.059 3582.75910.750.000000              2              1                    P 53      532210 1 1 1 1 1 0   105.0  107.0
461 1158.833926 3.121E-24 5.570E+00.06980.059 2780.42070.750.000000              1              0                    P 58      532210 1 1 1 1 1 0   115.0  117.0
461 1159.865568 1.764E-25 1.150E+01.06980.059 3497.57190.750.000000              2              1                    P 52      532210 1 1 1 1 1 0   103.0  105.0
461 1161.091159 4.853E-24 5.610E+00.06980.059 2686.68110.750.000000              1              0                    P 57      532210 1 1 1 1 1 0   113.0  115.0
461 1162.050267 2.611E-25 1.160E+01.06980.059 3413.96280.750.000000              2              1                    P 51      532210 1 1 1 1 1 0   101.0  103.0
461 1163.338316 7.485E-24 5.650E+00.06980.059 2594.52270.750.000000              1              0                    P 56      532210 1 1 1 1 1 0   111.0  113.0
461 1164.224707 3.798E-25 1.160E+01.06980.060 3331.93360.750.000000              2              1                    P 50      532210 1 1 1 1 1 0    99.0  101.0
461 1165.575368 1.147E-23 5.700E+00.06980.059 2503.94730.750.000000              1              0                    P 55      532210 1 1 1 1 1 0   109.0  111.0
461 1166.388857 5.530E-25 1.170E+01.06980.061 3251.48570.750.000000              2              1                    P 49      532210 1 1 1 1 1 0    97.0   99.0
461 1167.802283 1.741E-23 5.740E+00.06980.059 2414.95680.750.000000              1              0                    P 54      532210 1 1 1 1 1 0   107.0  109.0
461 1168.542688 7.984E-25 1.180E+01.06980.061 3172.62090.750.000000              2              1                    P 48      532210 1 1 1 1 1 0    95.0   97.0
461 1170.019033 2.622E-23 5.780E+00.06980.059 2327.55280.750.000000              1              0                    P 53      532210 1 1 1 1 1 0   105.0  107.0
461 1170.686170 1.143E-24 1.190E+01.06980.062 3095.34070.750.000000              2              1                    P 47      532210 1 1 1 1 1 0    93.0   95.0
